,columns,missing values count
152,Sensor-153,0
153,Sensor-154,0
154,Sensor-155,0
155,Sensor-156,0
156,Sensor-157,0
157,Sensor-158,98
158,Sensor-159,98
159,Sensor-160,0
160,Sensor-161,0
161,Sensor-162,0
162,Sensor-163,0
163,Sensor-164,0
164,Sensor-165,0
165,Sensor-166,0
166,Sensor-167,0
167,Sensor-168,0
168,Sensor-169,0
169,Sensor-170,0
170,Sensor-171,0
171,Sensor-172,0
172,Sensor-173,0
173,Sensor-174,0
174,Sensor-175,0
175,Sensor-176,0
176,Sensor-177,0
177,Sensor-178,0
178,Sensor-179,0
179,Sensor-180,0
180,Sensor-181,0
181,Sensor-182,0
182,Sensor-183,0
183,Sensor-184,0
184,Sensor-185,0
185,Sensor-186,0
186,Sensor-187,0
187,Sensor-188,0
188,Sensor-189,0
189,Sensor-190,0
190,Sensor-191,0
191,Sensor-192,0
192,Sensor-193,0
193,Sensor-194,0
194,Sensor-195,0
195,Sensor-196,0
196,Sensor-197,0
197,Sensor-198,0
198,Sensor-199,0
199,Sensor-200,0
200,Sensor-201,0
201,Sensor-202,0
202,Sensor-203,0
203,Sensor-204,0
204,Sensor-205,0
205,Sensor-206,0
206,Sensor-207,0
207,Sensor-208,0
208,Sensor-209,0
209,Sensor-210,0
210,Sensor-211,0
211,Sensor-212,0
212,Sensor-213,0
213,Sensor-214,0
214,Sensor-215,0
215,Sensor-216,0
216,Sensor-217,0
217,Sensor-218,0
218,Sensor-219,0
219,Sensor-220,0
220,Sensor-221,69
221,Sensor-222,0
222,Sensor-223,0
223,Sensor-224,0
224,Sensor-225,9
225,Sensor-226,9
226,Sensor-227,0
227,Sensor-228,0
228,Sensor-229,0
229,Sensor-230,0
230,Sensor-231,0
231,Sensor-232,0
232,Sensor-233,0
233,Sensor-234,0
234,Sensor-235,0
235,Sensor-236,0
236,Sensor-237,0
237,Sensor-238,0
238,Sensor-239,0
239,Sensor-240,0
240,Sensor-241,0
241,Sensor-242,0
242,Sensor-243,0
243,Sensor-244,0
244,Sensor-245,17
245,Sensor-246,17
246,Sensor-247,17
247,Sensor-248,94
248,Sensor-249,0
249,Sensor-250,0
250,Sensor-251,0
251,Sensor-252,0
252,Sensor-253,0
253,Sensor-254,0
254,Sensor-255,0
255,Sensor-256,0
256,Sensor-257,0
257,Sensor-258,0
258,Sensor-259,0
259,Sensor-260,0
260,Sensor-261,0
261,Sensor-262,0
262,Sensor-263,0
263,Sensor-264,0
264,Sensor-265,0
265,Sensor-266,0
266,Sensor-267,0
267,Sensor-268,0
268,Sensor-269,0
269,Sensor-270,0
270,Sensor-271,0
271,Sensor-272,0
272,Sensor-273,0
273,Sensor-274,0
274,Sensor-275,0
275,Sensor-276,0
276,Sensor-277,0
277,Sensor-278,0
278,Sensor-279,0
279,Sensor-280,0
280,Sensor-281,0
281,Sensor-282,0
282,Sensor-283,0
283,Sensor-284,0
284,Sensor-285,0
285,Sensor-286,0
286,Sensor-287,0
287,Sensor-288,0
288,Sensor-289,0
289,Sensor-290,0
290,Sensor-291,0
291,Sensor-292,0
292,Sensor-293,98
293,Sensor-294,98
294,Sensor-295,0
295,Sensor-296,0
296,Sensor-297,0
297,Sensor-298,0
298,Sensor-299,0
299,Sensor-300,0
300,Sensor-301,0
301,Sensor-302,0
302,Sensor-303,0
303,Sensor-304,0
304,Sensor-305,0
305,Sensor-306,0
306,Sensor-307,0
307,Sensor-308,0
308,Sensor-309,0
309,Sensor-310,0
310,Sensor-311,0
311,Sensor-312,0
312,Sensor-313,0
313,Sensor-314,0
314,Sensor-315,0
315,Sensor-316,0
316,Sensor-317,0
317,Sensor-318,0
318,Sensor-319,0
319,Sensor-320,0
320,Sensor-321,0
321,Sensor-322,0
322,Sensor-323,0
323,Sensor-324,0
324,Sensor-325,0
325,Sensor-326,0
326,Sensor-327,0
327,Sensor-328,0
328,Sensor-329,0
329,Sensor-330,0
330,Sensor-331,0
331,Sensor-332,0
332,Sensor-333,0
333,Sensor-334,0
334,Sensor-335,0
335,Sensor-336,0
336,Sensor-337,0
337,Sensor-338,0
338,Sensor-339,0
339,Sensor-340,0
340,Sensor-341,0
341,Sensor-342,0
342,Sensor-343,0
343,Sensor-344,0
344,Sensor-345,0
345,Sensor-346,69
346,Sensor-347,69
347,Sensor-348,0
348,Sensor-349,0
349,Sensor-350,0
350,Sensor-351,0
351,Sensor-352,0
352,Sensor-353,0
353,Sensor-354,0
354,Sensor-355,0
355,Sensor-356,0
356,Sensor-357,0
357,Sensor-358,0
358,Sensor-359,69
359,Sensor-360,0
360,Sensor-361,0
361,Sensor-362,0
362,Sensor-363,9
363,Sensor-364,9
364,Sensor-365,0
365,Sensor-366,0
366,Sensor-367,0
367,Sensor-368,0
368,Sensor-369,0
369,Sensor-370,0
370,Sensor-371,0
371,Sensor-372,0
372,Sensor-373,0
373,Sensor-374,0
374,Sensor-375,0
375,Sensor-376,0
376,Sensor-377,0
377,Sensor-378,0
378,Sensor-379,0
379,Sensor-380,0
380,Sensor-381,0
381,Sensor-382,0
382,Sensor-383,17
383,Sensor-384,17
384,Sensor-385,17
385,Sensor-386,94
386,Sensor-387,0
387,Sensor-388,0
388,Sensor-389,0
389,Sensor-390,0
390,Sensor-391,0
391,Sensor-392,0
392,Sensor-393,0
393,Sensor-394,0
394,Sensor-395,0
395,Sensor-396,0
396,Sensor-397,0
397,Sensor-398,0
398,Sensor-399,0
399,Sensor-400,0
400,Sensor-401,0
401,Sensor-402,0
402,Sensor-403,0
403,Sensor-404,0
404,Sensor-405,0
405,Sensor-406,0
406,Sensor-407,0
407,Sensor-408,0
408,Sensor-409,0
409,Sensor-410,0
410,Sensor-411,0
411,Sensor-412,0
412,Sensor-413,0
413,Sensor-414,0
414,Sensor-415,0
415,Sensor-416,0
416,Sensor-417,0
417,Sensor-418,0
418,Sensor-419,0
419,Sensor-420,0
420,Sensor-421,0
421,Sensor-422,0
422,Sensor-423,0
423,Sensor-424,0
424,Sensor-425,0
425,Sensor-426,0
426,Sensor-427,0
427,Sensor-428,0
428,Sensor-429,0
429,Sensor-430,0
430,Sensor-431,0
431,Sensor-432,0
432,Sensor-433,0
433,Sensor-434,0
434,Sensor-435,0
435,Sensor-436,0
436,Sensor-437,0
437,Sensor-438,0
438,Sensor-439,0
439,Sensor-440,0
440,Sensor-441,0
441,Sensor-442,0
442,Sensor-443,0
443,Sensor-444,0
444,Sensor-445,0
445,Sensor-446,0
446,Sensor-447,0
447,Sensor-448,0
448,Sensor-449,0
449,Sensor-450,0
450,Sensor-451,0
451,Sensor-452,0
452,Sensor-453,0
453,Sensor-454,0
454,Sensor-455,0
455,Sensor-456,0
456,Sensor-457,0
457,Sensor-458,0
458,Sensor-459,0
459,Sensor-460,0
460,Sensor-461,0
461,Sensor-462,0
462,Sensor-463,0
463,Sensor-464,0
464,Sensor-465,0
465,Sensor-466,0
466,Sensor-467,0
467,Sensor-468,0
468,Sensor-469,0
469,Sensor-470,0
470,Sensor-471,0
471,Sensor-472,0
472,Sensor-473,0
473,Sensor-474,0
474,Sensor-475,0
475,Sensor-476,0
476,Sensor-477,0
477,Sensor-478,0
478,Sensor-479,0
479,Sensor-480,0
480,Sensor-481,0
481,Sensor-482,0
482,Sensor-483,0
483,Sensor-484,0
484,Sensor-485,0
485,Sensor-486,0
486,Sensor-487,0
487,Sensor-488,0
488,Sensor-489,0
489,Sensor-490,0
490,Sensor-491,0
491,Sensor-492,0
492,Sensor-493,69
493,Sensor-494,0
494,Sensor-495,0
495,Sensor-496,0
496,Sensor-497,9
497,Sensor-498,9
498,Sensor-499,0
499,Sensor-500,0
500,Sensor-501,0
501,Sensor-502,0
502,Sensor-503,0
503,Sensor-504,0
504,Sensor-505,0
505,Sensor-506,0
506,Sensor-507,0
507,Sensor-508,0
508,Sensor-509,0
509,Sensor-510,0
510,Sensor-511,0
511,Sensor-512,0
512,Sensor-513,0
513,Sensor-514,0
514,Sensor-515,0
515,Sensor-516,0
516,Sensor-517,17
517,Sensor-518,17
518,Sensor-519,17
519,Sensor-520,94
520,Sensor-521,0
521,Sensor-522,0
522,Sensor-523,0
523,Sensor-524,0
524,Sensor-525,0
525,Sensor-526,0
526,Sensor-527,0
527,Sensor-528,0
528,Sensor-529,0
529,Sensor-530,0
530,Sensor-531,0
531,Sensor-532,0
532,Sensor-533,0
533,Sensor-534,0
534,Sensor-535,0
535,Sensor-536,0
536,Sensor-537,0
537,Sensor-538,0
538,Sensor-539,0
539,Sensor-540,0
540,Sensor-541,0
541,Sensor-542,0
542,Sensor-543,2
543,Sensor-544,2
544,Sensor-545,2
545,Sensor-546,2
546,Sensor-547,3
547,Sensor-548,3
548,Sensor-549,3
549,Sensor-550,3
550,Sensor-551,3
551,Sensor-552,3
552,Sensor-553,3
553,Sensor-554,3
554,Sensor-555,3
555,Sensor-556,3
556,Sensor-557,3
557,Sensor-558,3
558,Sensor-559,0
559,Sensor-560,0
560,Sensor-561,0
561,Sensor-562,0
562,Sensor-563,0
563,Sensor-564,0
564,Sensor-565,0
565,Sensor-566,0
566,Sensor-567,0
567,Sensor-568,0
568,Sensor-569,0
569,Sensor-570,0
570,Sensor-571,0
571,Sensor-572,0
572,Sensor-573,0
573,Sensor-574,0
574,Sensor-575,0
575,Sensor-576,0
576,Sensor-577,0
577,Sensor-578,0
578,Sensor-579,63
579,Sensor-580,63
580,Sensor-581,63
581,Sensor-582,63
582,Sensor-583,0
583,Sensor-584,0
584,Sensor-585,0
585,Sensor-586,0
586,Sensor-587,0
587,Sensor-588,0
588,Sensor-589,0
589,Sensor-590,0
